,1,54.34,77.38
0,2,54.89,77.42
60,40,52.61,76.8
120,100,52.74,76.22
180,160,53.41,75.66
240,220,54.04,75.18
300,280,54.62,74.89
360,340,55.08,74.52
420,400,55.52,74.25
480,460,55.92,74.02
540,520,56.31,73.77
600,580,56.62,73.58
660,640,56.91,73.37
720,700,57.21,73.21
780,760,57.43,73.02
840,820,57.63,72.88
900,880,57.84,72.79
960,940,58.05,72.69
1020,1000,58.19,72.57
1080,1060,58.33,72.52
1140,1120,58.46,72.42
1200,1180,58.53,72.34
1260,1240,58.64,72.28
1320,1300,58.71,72.23
1380,1360,58.78,72.17
1440,1420,58.88,72.09
1500,1480,58.97,72.03
1560,1540,59.08,72.0
1620,1600,59.12,71.98
1680,1660,59.17,71.92
1740,1720,59.24,71.92
1800,1780,59.29,71.88
1860,1840,59.37,71.88
1920,1900,59.42,71.82
1980,1960,59.49,71.82
2040,2020,59.52,71.78
2100,2080,59.52,71.71
2160,2140,59.51,71.69
2220,2200,59.53,71.67
2280,2260,59.58,71.71
2340,2320,59.56,71.67
2400,2380,59.57,71.63
2460,2440,59.64,71.63
2520,2500,59.64,71.61
2580,2560,59.64,71.59
2640,2620,59.65,71.59
2700,2680,59.7,71.59
2760,2740,59.68,71.57
2820,2800,59.66,71.53
2880,2860,59.69,71.53
2940,2920,59.71,71.49
3000,2980,59.72,71.47
3060,3040,59.75,71.47
3120,3100,59.73,71.45
3180,3160,59.75,71.45
3240,3220,59.75,71.45
3300,3280,59.85,71.45
3360,3340,59.85,71.4
3420,3400,59.91,71.4
3480,3460,59.89,71.42
3540,3520,59.91,71.4
3600,3580,59.91,71.36
3660,3640,59.89,71.36
3720,3700,60.04,71.36
3780,3760,59.49,71.55
3840,3820,59.65,71.11
3900,3880,59.97,70.62
3960,3940,60.16,70.16
4020,4000,60.38,69.89
4080,4060,60.52,69.74
4140,4120,60.38,70.06
4200,4180,59.98,70.34
4260,4240,59.55,70.53
4320,4300,59.46,70.61
4380,4360,59.45,70.64
4440,4420,59.49,70.72
4500,4480,59.52,70.74
4560,4540,59.54,70.78
4620,4600,59.56,70.78
4680,4660,59.53,70.8
4740,4720,59.56,70.78
4800,4780,59.66,71.01
4860,4840,59.1,71.11
4920,4900,59.11,71.11
4980,4960,59.17,71.13
5040,5020,59.29,71.11
5100,5080,59.29,71.18
5160,5140,59.36,71.15
5220,5200,59.38,71.13
5280,5260,59.41,71.13
5340,5320,59.41,71.11
5400,5380,59.37,71.15
5460,5440,59.37,71.13
5520,5500,59.46,71.13
5580,5560,59.49,71.13
5640,5620,59.53,71.09
5700,5680,59.61,71.05
5760,5740,59.59,71.09
5820,5800,59.72,71.05
5880,5860,59.71,71.03
5940,5920,59.77,71.03
6000,5980,59.79,71.03
6060,6040,59.82,71.05
6120,6100,59.89,71.01
6180,6160,59.88,71.03
6240,6220,59.9,70.95
6300,6280,59.91,71.01
6360,6340,59.97,70.99
6420,6400,59.91,70.93
6480,6460,60.06,70.97
6540,6520,60.17,70.89
6600,6580,60.18,70.89
6660,6640,60.23,70.89
6720,6700,60.26,70.86
6780,6760,60.38,70.88
6840,6820,60.43,70.84
6900,6880,60.46,70.84
6960,6940,60.47,70.86
7020,7000,60.49,70.82
7080,7060,60.5,70.82
7140,7120,60.58,70.8
7200,7180,60.58,70.82
7260,7240,60.58,70.84
7320,7300,60.62,70.82
7380,7360,60.61,70.8
7440,7420,60.67,70.74
7500,7480,60.72,70.74
7560,7540,60.8,70.76
7620,7600,60.8,70.78
7680,7660,60.84,70.7
7740,7720,60.92,70.74
7800,7780,60.92,70.7
7860,7840,60.97,70.7
7920,7900,61.07,70.7
7980,7960,61.13,70.66
8040,8020,61.2,70.7
8100,8080,61.24,70.68
8160,8140,61.26,70.68
8220,8200,61.31,70.7
8280,8260,61.33,70.68
8340,8320,61.3,70.68
8400,8380,61.36,70.66
8460,8440,61.4,70.62
8520,8500,61.38,70.62
8580,8560,61.43,70.64
8640,8620,61.42,70.61
8700,8680,61.45,70.62
8760,8740,61.49,70.59
8820,8800,61.54,70.57
8880,8860,61.55,70.59
8940,8920,61.6,70.57
9000,8980,61.63,70.59
9060,9040,61.65,70.53
9120,9100,61.67,70.57
9180,9160,61.68,70.53
9240,9220,61.69,70.53
9300,9280,61.74,70.53
9360,9340,61.69,70.53
9420,9400,61.73,70.51
9480,9460,61.78,70.51
9540,9520,61.75,70.51
9600,9580,61.77,70.53
9660,9640,61.8,70.51
9720,9700,61.8,70.49
9780,9760,61.8,70.49
9840,9820,61.79,70.49
9900,9880,61.87,70.43
9960,9940,61.84,70.45
10020,10000,61.87,70.45
10080,10060,61.91,70.43
10140,10120,61.88,70.45
10200,10180,61.9,70.45
10260,10240,61.95,70.39
10320,10300,61.96,70.43
10380,10360,61.98,70.41
10440,10420,62.0,70.43
10500,10480,62.04,70.45
10560,10540,62.07,70.43
10620,10600,62.11,70.39
10680,10660,62.13,70.39
10740,10720,62.14,70.41
10800,10780,62.19,70.37
10860,10840,62.23,70.37
10920,10900,62.23,70.35
10980,10960,62.3,70.35
11040,11020,62.36,70.37
11100,11080,62.36,70.32
11160,11140,62.4,70.35
11220,11200,62.44,70.35
11280,11260,62.45,70.37
11340,11320,62.52,70.34
11400,11380,62.54,70.35
11460,11440,62.57,70.34
11520,11500,62.6,70.32
11580,11560,62.6,70.26
11640,11620,62.65,70.32
11700,11680,62.73,70.28
11760,11740,62.73,70.3
11820,11800,62.77,70.28
11880,11860,62.81,70.28
11940,11920,62.84,70.26
12000,11980,62.89,70.26
12060,12040,62.91,70.26
12120,12100,62.89,70.26
12180,12160,62.91,70.2
12240,12220,62.94,70.22
12300,12280,62.93,70.22
12360,12340,62.98,70.22
12420,12400,63.0,70.22
12480,12460,63.03,70.22
12540,12520,63.02,70.2
12600,12580,63.07,70.22
12660,12640,63.1,70.2
12720,12700,63.1,70.16
12780,12760,63.13,70.16
12840,12820,63.12,70.14
12900,12880,63.16,70.14
12960,12940,63.16,70.14
13020,13000,63.19,70.16
13080,13060,63.21,70.14
13140,13120,63.26,70.1
13200,13180,63.29,70.12
13260,13240,63.29,70.1
13320,13300,63.33,70.08
13380,13360,63.36,70.12
13440,13420,63.4,70.08
13500,13480,63.45,70.08
13560,13540,63.48,70.08
13620,13600,63.48,70.05
13680,13660,63.5,70.08
13740,13720,63.55,70.06
13800,13780,63.57,70.03
13860,13840,63.71,70.01
13920,13900,63.85,70.03
13980,13960,63.87,69.99
14040,14020,63.92,69.99
14100,14080,63.93,69.97
14160,14140,63.95,69.99
14220,14200,63.93,69.97
14280,14260,63.98,69.97
14340,14320,63.96,69.97
14400,14380,63.94,69.97
14460,14440,64.0,69.93
14520,14500,63.94,69.91
14580,14560,63.99,69.93
14640,14620,64.03,69.93
14700,14680,64.05,69.89
14760,14740,64.05,69.89
14820,14800,64.06,69.89
14880,14860,64.04,69.89
14940,14920,64.06,69.87
15000,14980,64.03,69.87
15060,15040,64.03,69.87
15120,15100,64.04,69.87
15180,15160,64.02,69.85
15240,15220,64.0,69.83
15300,15280,63.98,69.79
15360,15340,64.04,69.81
15420,15400,64.04,69.81
15480,15460,64.1,69.81
15540,15520,64.09,69.81
15600,15580,64.14,69.81
15660,15640,64.14,69.81
15720,15700,64.2,69.85
15780,15760,64.24,69.76
15840,15820,64.27,69.81
15900,15880,64.31,69.79
15960,15940,64.31,69.78
16020,16000,64.32,69.79
16080,16060,64.3,69.76
16140,16120,64.3,69.78
16200,16180,64.32,69.78
16260,16240,64.3,69.72
16320,16300,64.28,69.74
16380,16360,64.32,69.7
16440,16420,64.34,69.74
16500,16480,64.33,69.72
16560,16540,64.37,69.72
16620,16600,64.39,69.68
16680,16660,64.35,69.72
16740,16720,64.36,69.7
16800,16780,64.34,69.68
16860,16840,64.31,69.68
16920,16900,64.28,69.7
16980,16960,64.26,69.66
17040,17020,64.32,69.6
17100,17080,64.33,69.68
17160,17140,64.34,69.64
17220,17200,64.39,69.62
17280,17260,64.41,69.64
17340,17320,64.45,69.6
17400,17380,64.45,69.58
17460,17440,64.43,69.58
17520,17500,64.41,69.58
17580,17560,64.38,69.6
17640,17620,64.37,69.58
17700,17680,64.35,69.56
17760,17740,64.33,69.56
17820,17800,64.38,69.52
17880,17860,64.35,69.52
17940,17920,64.36,69.49
18000,17980,64.38,69.49
18060,18040,64.38,69.47
18120,18100,64.42,69.45
18180,18160,64.42,69.41
18240,18220,64.45,69.45
18300,18280,64.51,69.43
18360,18340,64.54,69.43
18420,18400,64.57,69.41
18480,18460,64.56,69.41
18540,18520,64.59,69.39
18600,18580,64.57,69.45
18660,18640,64.61,69.41
18720,18700,64.6,69.39
18780,18760,64.62,69.41
18840,18820,64.66,69.39
18900,18880,64.72,69.37
18960,18940,64.7,69.37
19020,19000,64.76,69.35
19080,19060,64.78,69.37
19140,19120,64.8,69.31
19200,19180,64.82,69.37
19260,19240,64.87,69.31
19320,19300,64.89,69.33
19380,19360,64.89,69.25
19440,19420,64.96,69.33
19500,19480,64.95,69.31
19560,19540,64.97,69.31
19620,19600,65.06,69.29
19680,19660,65.07,69.29
19740,19720,65.08,69.35
19800,19780,65.09,69.25
19860,19840,65.09,69.27
19920,19900,65.06,69.25
19980,19960,65.07,69.25
20040,20020,65.06,69.29
20100,20080,65.03,69.27
20160,20140,65.03,69.29
20220,20200,65.05,69.25
20280,20260,65.03,69.23
20340,20320,65.05,69.22
20400,20380,65.04,69.22
20460,20440,65.01,69.25
20520,20500,65.0,69.22
20580,20560,65.0,69.22
20640,20620,65.02,69.2
20700,20680,65.01,69.2
20760,20740,65.03,69.2
20820,20800,65.0,69.2
20880,20860,65.03,69.2
20940,20920,65.03,69.16
21000,20980,65.03,69.16
21060,21040,65.08,69.14
21120,21100,65.14,69.1
21180,21160,65.15,69.14
21240,21220,65.15,69.14
21300,21280,65.13,69.14
21360,21340,65.13,69.1
21420,21400,65.16,69.12
21480,21460,65.18,69.16
21540,21520,65.17,69.14
21600,21580,65.11,69.14
21660,21640,65.09,69.12
21720,21700,65.06,69.12
21780,21760,65.05,69.06
21840,21820,65.07,69.14
21900,21880,65.09,69.08
21960,21940,65.06,69.08
22020,22000,65.09,69.08
22080,22060,65.06,69.06
22140,22120,65.1,69.1
22200,22180,65.13,69.06
22260,22240,65.11,69.08
22320,22300,65.12,69.04
22380,22360,65.1,69.08
22440,22420,65.07,69.1
22500,22480,65.09,69.06
22560,22540,65.12,69.04
22620,22600,65.13,69.08
22680,22660,65.16,69.06
22740,22720,65.13,69.04
22800,22780,65.21,69.02
22860,22840,65.25,69.0
22920,22900,65.2,69.04
22980,22960,65.19,69.0
23040,23020,65.21,69.04
23100,23080,65.2,69.0
23160,23140,65.23,69.0
23220,23200,65.23,69.04
23280,23260,65.25,69.02
23340,23320,65.23,69.0
23400,23380,65.29,69.0
23460,23440,65.29,68.96
23520,23500,65.21,68.98
23580,23560,65.16,68.98
23640,23620,65.17,69.0
23700,23680,65.17,68.96
23760,23740,65.22,68.98
23820,23800,65.17,68.96
23880,23860,65.19,68.98
23940,23920,65.16,68.98
24000,23980,65.13,68.98
24060,24040,65.13,68.96
24120,24100,65.13,68.95
24180,24160,65.19,68.96
24240,24220,65.18,68.98
24300,24280,65.15,68.96
24360,24340,65.18,68.96
24420,24400,65.19,69.0
24480,24460,65.18,68.96
24540,24520,65.17,68.98
24600,24580,65.15,68.96
